0,0,1,2,0,1,0
0.032,0,0,0,1,0,0
0.064,1,0,2,0,0,0
0.096,2,0,0,0,0,0
0.128,0,0,0,0,0,1
0.16,0,0,0,0,0,0
0.192,1,0,0,0,1,0
0.224,0,1,0,1,0,0
0.256,0,0,0,0,0,0
0.288,1,0,0,1,0,1
0.32,1,0,1,1,0,0
0.352,0,0,0,0,0,0
0.384,0,0,0,2,0,0
0.416,0,1,1,0,0,0
0.448,2,0,0,1,0,1
0.48,0,0,1,0,0,0
0.512,1,0,0,1,0,0
0.544,2,0,0,0,0,0
0.576,1,0,1,1,0,0
0.608,1,1,0,0,0,0
0.64,1,1,0,0,0,0
0.672,1,1,0,0,0,1
0.704,0,0,0,0,0,0
0.736,0,1,0,0,0,1
0.768,0,0,0,0,0,0
0.8,0,0,1,0,0,0
0.832,3,0,0,1,0,2
0.864,1,1,0,0,0,0
0.896,1,0,0,0,0,0
0.928,2,0,0,2,0,0
0.96,2,1,0,1,0,1
0.992,1,0,0,0,0,0
1.024,1,0,0,0,0,0
1.056,0,0,0,0,0,0
1.088,0,1,1,2,0,0
1.12,2,0,1,0,0,0
1.152,1,0,0,0,1,0
1.184,1,0,2,1,0,0
1.216,0,0,1,0,0,0
1.248,0,0,0,0,1,0
1.28,1,0,1,0,0,0
1.312,0,0,0,0,0,0
1.344,0,0,0,0,0,0
1.376,0,0,1,0,0,0
1.408,1,1,1,0,0,0
1.44,1,2,0,1,0,1
1.472,0,0,2,0,0,0
1.504,0,0,2,1,0,0
1.536,1,0,1,0,0,0
1.568,1,0,0,0,1,0
1.6,1,0,0,0,0,0
1.632,1,2,0,1,0,0
1.664,1,1,1,0,1,0
1.696,1,3,0,1,0,0
1.728,0,0,0,1,1,0
1.76,0,0,0,1,0,0
1.792,0,0,1,0,0,0
1.824,0,0,0,1,0,0
1.856,0,1,0,2,0,1
1.888,0,0,0,0,1,0
1.92,0,0,0,0,0,0
1.952,0,1,0,0,0,0
1.984,0,0,0,0,0,0
2.016,1,1,0,1,0,0
2.048,0,2,1,2,0,1
2.08,3,0,0,0,1,2
2.112,0,0,0,0,0,1
2.144,1,2,0,0,0,0
2.176,0,0,1,0,0,0
2.208,0,0,1,0,0,0
2.24,1,0,1,0,0,1
2.272,1,0,1,1,0,0
2.304,0,0,0,0,0,0
2.336,0,0,1,1,0,0
2.368,1,0,1,1,0,0
2.4,1,0,0,0,0,1
2.432,1,0,0,0,0,3
2.464,0,0,0,0,0,0
2.496,0,0,1,0,0,0
2.528,2,0,3,0,0,0
2.56,1,1,0,1,0,0
2.592,0,0,1,0,0,1
2.624,2,0,1,1,0,1
2.656,0,0,0,0,0,0
2.688,1,0,0,0,0,0
2.72,1,0,1,0,0,0
2.752,1,0,0,1,0,0
2.784,0,0,0,1,1,0
2.816,1,0,0,1,0,1
2.848,1,0,0,1,0,2
2.88,1,0,0,2,0,0
2.912,0,0,1,1,0,1
2.944,0,0,0,1,1,0
2.976,0,0,2,0,0,0
3.008,0,0,2,0,0,1
3.04,1,0,0,0,0,0
3.072,2,0,0,0,0,0
3.104,1,0,0,1,0,0
3.136,0,0,0,0,0,0
3.168,1,0,1,0,0,0
3.2,0,0,2,0,0,0
3.232,2,0,1,1,0,0
3.264,3,0,0,0,0,0
3.296,2,0,1,1,0,2
3.328,0,0,0,1,0,0
3.36,1,1,0,1,0,0
3.392,0,1,0,2,0,0
3.424,0,0,0,0,0,1
3.456,0,0,1,1,0,1
3.488,0,1,0,0,0,1
3.52,0,1,0,0,0,0
3.552,1,0,1,0,0,0
3.584,0,1,0,0,0,0
3.616,0,0,0,1,1,2
3.648,1,1,0,1,0,1
3.68,3,0,0,0,0,0
3.712,0,0,1,1,0,1
3.744,2,1,0,0,0,0
